2026-02-25 22:50:41.404 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.404 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.405 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.405 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.406 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.407 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.408 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.408 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.409 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.409 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.410 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.411 | INFO     | logging:callHandlers:1736 - Scheduler initialized with all financial advisor jobs
2026-02-25 22:50:41.426 | INFO     | logging:callHandlers:1736 - Added job "Check for overspending alerts" to job store "default"
2026-02-25 22:50:41.428 | INFO     | logging:callHandlers:1736 - Added job "Check for spending anomalies" to job store "default"
2026-02-25 22:50:41.430 | INFO     | logging:callHandlers:1736 - Added job "Check savings goal progress" to job store "default"
2026-02-25 22:50:41.450 | INFO     | logging:callHandlers:1736 - Added job "Check for savings opportunities" to job store "default"
2026-02-25 22:50:41.454 | INFO     | logging:callHandlers:1736 - Added job "Generate weekly financial summaries" to job store "default"
2026-02-25 22:50:41.455 | INFO     | logging:callHandlers:1736 - Added job "Generate monthly financial summaries" to job store "default"
2026-02-25 22:50:41.466 | INFO     | logging:callHandlers:1736 - Added job "Update financial health scores" to job store "default"
2026-02-25 22:50:41.473 | INFO     | logging:callHandlers:1736 - Added job "Savings nearing completion reminders" to job store "default"
2026-02-25 22:50:41.474 | INFO     | logging:callHandlers:1736 - Added job "Savings completion reminders" to job store "default"
2026-02-25 22:50:41.486 | INFO     | logging:callHandlers:1736 - Added job "Overdue savings payments" to job store "default"
2026-02-25 22:50:41.487 | INFO     | logging:callHandlers:1736 - Added job "Daily system summary" to job store "default"
2026-02-25 22:50:41.488 | INFO     | logging:callHandlers:1736 - Added job "Payment request reminders" to job store "default"
2026-02-25 22:50:41.489 | INFO     | logging:callHandlers:1736 - Added job "Business without admin alerts" to job store "default"
2026-02-25 22:50:41.489 | INFO     | logging:callHandlers:1736 - Added job "Low balance alerts" to job store "default"
2026-02-25 22:50:41.490 | INFO     | logging:callHandlers:1736 - Added job "Inactive user reminders" to job store "default"
2026-02-25 22:50:41.491 | INFO     | logging:callHandlers:1736 - Added job "Weekly analytics report" to job store "default"
2026-02-25 22:50:41.491 | INFO     | logging:callHandlers:1736 - Added job "Notify about legacy pending payment requests" to job store "default"
2026-02-25 22:50:41.492 | INFO     | logging:callHandlers:1736 - Scheduler started
2026-02-25 22:50:41.492 | INFO     | logging:callHandlers:1736 - Scheduler started successfully
2026-02-25 22:50:41.497 | INFO     | main:on_startup:200 - ✓ Financial Advisor Scheduler started
2026-02-25 22:50:41.497 | INFO     | main:on_startup:208 - ============================================================
2026-02-25 22:50:41.502 | INFO     | main:on_startup:209 - APPLICATION READY
2026-02-25 22:50:41.502 | INFO     | main:on_startup:210 - ============================================================
2026-02-25 22:50:41.504 | INFO     | logging:callHandlers:1736 - Application startup complete.
2026-02-25 22:55:41.594 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:00:41 WAT)" (scheduled at 2026-02-25 22:55:41.405647+01:00)
2026-02-25 22:55:41.651 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 22:55:55.962 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 22:55:56.151 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:00:41 WAT)" executed successfully
2026-02-25 23:00:41.486 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:05:41 WAT)" (scheduled at 2026-02-25 23:00:41.405647+01:00)
2026-02-25 23:00:41.504 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:00:54.380 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
2026-02-25 23:00:54.604 | INFO     | logging:callHandlers:1736 - Job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:05:41 WAT)" executed successfully
2026-02-25 23:05:41.415 | INFO     | logging:callHandlers:1736 - Running job "Overdue savings payments (trigger: interval[0:05:00], next run at: 2026-02-25 23:10:41 WAT)" (scheduled at 2026-02-25 23:05:41.405647+01:00)
2026-02-25 23:05:41.418 | INFO     | logging:callHandlers:1736 - Running scheduled overdue savings payment check
2026-02-25 23:05:53.205 | INFO     | logging:callHandlers:1736 - Sent 0 savings payment overdue notifications
